"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"D-014, and the one place where order changes something visible.

succeeded outranks canceled, so both orders end at succeeded and the state
is order independent as everywhere else. What differs is legality: arriving
at succeeded *out of* canceled is a transition the table calls impossible,
so it is recorded as an anomaly. The reverse order never leaves canceled at
all, because canceled cannot outrank succeeded, so nothing is flagged.

This asymmetry is the whole reason D-014 ranks succeeded above canceled.
Rank canceled higher instead and the contradiction is silently absorbed,
the illegal transition machinery becomes dead code, and a mapping bug in
our own receiver passes unnoticed.
","11","test_the_contradictory_pair_converges_but_only_one_order_is_an_anomaly[canceled-then-succeeded]","tests.webhook","2026-08-21","passed","2026-08-21","","test_ordering","",""
"","4","test_health_returns_200","tests","2026-08-21","passed","2026-08-21","","test_health","",""
"","30","test_a_valid_event_is_accepted_and_recorded","tests.webhook","2026-08-21","passed","2026-08-21","","test_handler","",""
"The seam's default, exercised once against Stripe.

Everything above substitutes the creator, so nothing else here would notice
if the real call were broken. This is the one test that would.
","276","test_the_real_client_creates_a_payment_intent","tests.idempotency","2026-08-21","passed","2026-08-21","","test_idempotency","",""
"The contract's second case, and it matches Stripe's measured 400.

Reusing a key for different work is a caller bug, and the useful thing to do
with it is refuse loudly. Returning the first response instead would answer
a question that was never asked.
","10","test_a_replay_with_a_different_body_is_refused","tests.idempotency","2026-08-21","passed","2026-08-21","","test_idempotency","",""
"Five contradictory events at one payment, fired at once, no sequencing.

This is the case BEGIN IMMEDIATE and WAL exist for. Each delivery reads the
current state and writes the next one, and without the write lock taken up
front those two steps interleave and a higher rank gets overwritten by a
lower one that read stale state.

The expected state is refunded because it is the highest rank in the set,
and that expectation does not depend on who wins any race: the rule is
monotonic, so whatever order the threads land in, rank 80 is applied and
nothing below it can replace it. A test that accepted several states would
be asserting almost nothing, which is why this asserts exactly one.

A ""database is locked"" failure here is a WAL problem from stage 01, not a
state machine problem. That distinction is why WAL was set up there.
","34","test_concurrent_conflicting_deliveries_converge_without_corruption","tests.webhook","2026-08-21","passed","2026-08-21","","test_ordering","",""
"Not every Checkout Session has one. That is a skip, not an exception.","1","test_a_session_without_a_payment_intent_resolves_to_nothing","tests.webhook","2026-08-21","passed","2026-08-21","","test_resolution","",""
"Anything other than a clear yes must leave the endpoint closed.","10","test_introspection_404s_when_testing_is_not_true[false]","tests","2026-08-21","passed","2026-08-21","","test_introspection_gating","",""
"The TTL, which the contract asks for but does not give a case.

Expiry is proven by shortening the window rather than by controlling the
clock or writing a stale row into the database. A zero hour TTL makes any
existing key expired on sight, which is the same code path a real
twenty-four hour expiry takes a day to reach.
","13","test_an_expired_key_can_be_used_again","tests.idempotency","2026-08-21","passed","2026-08-21","","test_idempotency","",""
"Every permutation of one lifecycle converges on the same state.

The contract asks for succeeded before processing. All six orderings are
run instead, because the claim is about the set and testing one reversal
would leave the general case asserted only by argument.
","13","test_final_state_is_independent_of_delivery_order[succeeded,processing,created]","tests.webhook","2026-08-21","passed","2026-08-21","","test_ordering","",""
"State is a high water mark, so nothing below it can be written over it.

payment_failed is the case worth naming: Stripe genuinely returns a failed
PaymentIntent to requires_payment_method so it can be retried, and the
table deliberately refuses that regression. The recorded state is the
furthest progress ever observed, not Stripe's instantaneous status.

None of these is an anomaly. Absorbing a late event is the design working,
and flagging it would fire on every reordered delivery and teach a reader
to ignore the flag.
","10","test_a_stale_event_after_a_terminal_state_is_absorbed_not_applied[created]","tests.webhook","2026-08-21","passed","2026-08-21","","test_ordering","",""
"State is a high water mark, so nothing below it can be written over it.

payment_failed is the case worth naming: Stripe genuinely returns a failed
PaymentIntent to requires_payment_method so it can be retried, and the
table deliberately refuses that regression. The recorded state is the
furthest progress ever observed, not Stripe's instantaneous status.

None of these is an anomaly. Absorbing a late event is the design working,
and flagging it would fire on every reordered delivery and teach a reader
to ignore the flag.
","12","test_a_stale_event_after_a_terminal_state_is_absorbed_not_applied[processing]","tests.webhook","2026-08-21","passed","2026-08-21","","test_ordering","",""
"Stage 06's concurrent case is correct because of this constraint.

Insert-first-and-let-the-constraint-arbitrate has no window; a
check-then-insert does.
","6","test_idempotency_keys_rejects_duplicate_key","tests","2026-08-21","passed","2026-08-21","","test_db","",""
"","0","test_tampered_body_is_rejected","tests.webhook","2026-08-21","passed","2026-08-21","","test_signature","",""
"Written from the documented scheme, verified against the SDK's verifier.","1","test_helper_produces_a_header_the_sdk_accepts","tests.webhook","2026-08-21","passed","2026-08-21","","test_signature","",""
"State is a high water mark, so nothing below it can be written over it.

payment_failed is the case worth naming: Stripe genuinely returns a failed
PaymentIntent to requires_payment_method so it can be retried, and the
table deliberately refuses that regression. The recorded state is the
furthest progress ever observed, not Stripe's instantaneous status.

None of these is an anomaly. Absorbing a late event is the design working,
and flagging it would fire on every reordered delivery and teach a reader
to ignore the flag.
","12","test_a_stale_event_after_a_terminal_state_is_absorbed_not_applied[requires_action]","tests.webhook","2026-08-21","passed","2026-08-21","","test_ordering","",""
"D-017. A refund seen first leaves a NULL amount nothing could ever fill.

charge.refunded carries a Charge, which is not trusted for the intent's
amount, and it claims the top rank. So the payment is created at refunded
with no amount, and every later PaymentIntent event is absorbed on rank.
Before the fix the amount stayed NULL permanently, which made the record
order dependent even though the state was not.
","10","test_an_absorbed_event_still_fills_an_amount_the_record_does_not_have","tests.webhook","2026-08-21","passed","2026-08-21","","test_handler","",""
